ticker,entry_date,exit_date
HUM,2019-11-21,2024-12-31
HWM,2020-04-01,2024-12-31
IBM,2014-01-01,2014-01-21
IBM,2014-01-22,2021-12-02
IBM,2021-12-03,2024-12-31
ICE,2014-01-01,2024-12-31
IDXX,2017-01-05,2024-12-31
IEX,2019-08-09,2024-12-31
IFF,2014-01-01,2014-01-08
IFF,2014-01-09,2024-12-31
IGT,2014-01-01,2014-01-23
IGT,2014-01-24,2014-06-20
IILG,2016-05-13,2016-05-13
ILMN,2015-11-19,2024-06-21
INCY,2017-02-28,2024-12-31
INFO,2017-06-02,2019-07-01
INFO,2019-07-02,2019-10-23
INFO,2019-10-24,2022-02-25
INTC,2014-01-01,2024-12-31
INTU,2014-01-01,2024-12-31
INVH,2022-09-19,2024-12-31
IP,2014-01-01,2024-12-31
IPG,2014-01-01,2024-12-31
IPGP,2018-03-07,2022-06-17
IQV,2017-11-15,2020-05-27
IQV,2020-05-28,2024-06-19
IQV,2024-06-20,2024-12-31
IR,2014-01-01,2020-02-19
IR,2020-02-20,2020-03-01
IR,2020-03-03,2022-02-23
IR,2022-02-24,2024-12-31
IRM,2014-01-01,2014-07-10
IRM,2014-07-11,2015-01-20
IRM,2015-01-21,2016-09-18
IRM,2016-09-19,2017-06-07
IRM,2017-06-08,2017-12-25
IRM,2017-12-26,2024-12-31
ISRG,2014-01-01,2024-12-31
IT,2017-04-05,2024-12-31
ITW,2014-01-01,2014-01-28
ITW,2014-01-29,2017-03-27
ITW,2017-03-28,2019-06-25
ITW,2019-06-26,2024-09-11
ITW,2024-09-12,2024-12-31
IVZ,2014-01-01,2024-12-31
J,2019-12-10,2022-08-28
J,2022-08-29,2024-12-31
JBHT,2015-07-01,2024-12-31
JBL,2014-01-01,2014-11-04
JBL,2023-12-18,2024-12-31
JCI,2014-01-01,2014-01-22
JCI,2014-01-23,2016-09-02
JCI,2016-09-06,2020-03-19
JCI,2020-03-20,2021-03-31
JCI,2021-04-01,2022-01-11
JCI,2022-01-12,2024-12-31
JEC,2014-01-01,2019-12-09
JEF,2018-05-24,2019-09-25
JKHY,2018-11-13,2024-12-31
JNJ,2014-01-01,2021-12-20
JNJ,2021-12-21,2024-12-31
JNPR,2014-01-01,2014-01-23
JNPR,2014-01-24,2024-12-31
JOY,2014-01-01,2015-10-07
JPM,2014-01-01,2016-06-22
JPM,2016-06-23,2016-08-03
JPM,2016-08-04,2024-12-31
JWN,2014-01-01,2016-12-21
JWN,2016-12-22,2020-06-19
K,2014-01-01,2022-03-09
K,2022-03-10,2023-10-01
K,2023-10-02,2024-12-31
KDP,2022-06-21,2024-12-31
KEY,2014-01-01,2024-12-31
KEYS,2018-11-06,2021-06-20
KEYS,2021-06-21,2024-12-31
KHC,2015-07-06,2024-12-31
KIM,2014-01-01,2024-12-31
KKR,2024-06-24,2024-12-31
KLAC,2014-01-01,2019-07-15
KLAC,2019-07-16,2024-12-31
KLG,2023-10-02,2023-10-02
KMB,2014-01-01,2014-01-26
KMB,2014-01-27,2017-04-23
KMB,2017-04-24,2021-03-31
KMB,2021-04-01,2024-12-31
KMI,2014-01-01,2015-07-16
KMI,2015-07-17,2015-09-01
KMI,2015-09-02,2020-11-02
KMI,2020-11-03,2024-12-31
KMX,2014-01-01,2024-12-31
KO,2014-01-01,2024-06-30
KO,2024-07-01,2024-12-31
KORS,2014-01-01,2017-12-25
KORS,2017-12-26,2019-01-01
KR,2014-01-01,2024-12-31
KRFT,2014-01-01,2015-07-02
KSS,2014-01-01,2014-01-09
KSS,2014-01-10,2014-02-26
KSS,2014-02-27,2020-09-18
KSU,2014-01-01,2021-12-13
KTB,2019-05-23,2019-05-23
KVUE,2023-08-25,2024-12-31
L,2014-01-01,2024-12-31
LB,2014-01-01,2014-01-06
LB,2014-01-07,2021-08-02
LDOS,2019-08-09,2020-02-17
LDOS,2020-02-18,2021-03-28
LDOS,2021-03-29,2024-03-26
LDOS,2024-03-27,2024-12-31
LEG,2014-01-01,2017-01-10
LEG,2017-01-11,2021-03-30
LEG,2021-03-31,2021-12-17
LEN,2014-01-01,2024-12-31
LH,2014-01-01,2024-05-19
LH,2024-05-20,2024-12-31
