month,anomaly_rate,date,oi_total,cot_net_share_sp500,cot_net_z_sp500,cot_sp500_z_l-2,cot_sp500_z_l-1,cot_sp500_z_l0,cot_sp500_z_l1,cot_sp500_z_l2,surge
2018-10-01,0.3223787167449139,2018-10-30,5722362.0,0.06700607196818377,-1.8816965160251133,-1.2308536093334972,0.47500231499451767,-1.8816965160251133,-0.9772668818754856,1.4596856622606433,1
2018-11-01,0.14756671899529042,2018-11-27,5254714.0,0.08786548611399213,-0.9772668818754856,0.47500231499451767,-1.8816965160251133,-0.9772668818754856,1.4596856622606433,0.9740373374273545,0
2018-12-01,0.334384858044164,2018-12-31,4604360.0,0.1692847648750315,1.4596856622606433,-1.8816965160251133,-0.9772668818754856,1.4596856622606433,0.9740373374273545,0.283012139066278,1
2019-01-01,0.19747235387045814,2019-01-29,4595577.0,0.14683923259255585,0.9740373374273545,-0.9772668818754856,1.4596856622606433,0.9740373374273545,0.283012139066278,2.343453428319518,0
2019-02-01,0.0914826498422713,2019-02-26,4579189.0,0.12133130997650457,0.283012139066278,1.4596856622606433,0.9740373374273545,0.283012139066278,2.343453428319518,2.1741416616100984,0
2019-03-01,0.04409448818897638,2019-03-26,4146902.0,0.1845982856599939,2.343453428319518,0.9740373374273545,0.283012139066278,2.343453428319518,2.1741416616100984,0.648463014058716,0
2019-04-01,0.06339144215530904,2019-04-30,4400810.0,0.1968024068296518,2.1741416616100984,0.283012139066278,2.343453428319518,2.1741416616100984,0.648463014058716,1.684502480713439,0
2019-05-01,0.06973058637083994,2019-05-28,4782288.0,0.14646294827915007,0.648463014058716,2.343453428319518,2.1741416616100984,0.648463014058716,1.684502480713439,1.3463694493240477,0
2019-06-01,0.05055292259083728,2019-06-25,4245392.0,0.19030892789169998,1.684502480713439,2.1741416616100984,0.648463014058716,1.684502480713439,1.3463694493240477,-0.5066882781296255,0
2019-07-01,0.0379746835443038,2019-07-30,4396490.0,0.18956849668712997,1.3463694493240477,0.648463014058716,1.684502480713439,1.3463694493240477,-0.5066882781296255,0.9314428876428299,0
2019-08-01,0.08832807570977919,2019-08-27,4695563.0,0.11817603128740899,-0.5066882781296255,1.684502480713439,1.3463694493240477,-0.5066882781296255,0.9314428876428299,0.7271077303037726,0
2019-09-01,0.06782334384858044,2019-09-24,4287141.0,0.17510690691068942,0.9314428876428299,1.3463694493240477,-0.5066882781296255,0.9314428876428299,0.7271077303037726,-0.035051798991580306,0
2019-10-01,0.0473186119873817,2019-10-29,4388528.0,0.1709176744457367,0.7271077303037726,-0.5066882781296255,0.9314428876428299,0.7271077303037726,-0.035051798991580306,2.728808219469774,0
2019-11-01,0.06782334384858044,2019-11-26,5023752.0,0.15052116426129317,-0.035051798991580306,0.9314428876428299,0.7271077303037726,-0.035051798991580306,2.728808219469774,1.8269983054539318,0
2019-12-01,0.02365930599369085,2019-12-31,4282340.0,0.23906275540942568,2.728808219469774,0.7271077303037726,-0.035051798991580306,2.728808219469774,1.8269983054539318,0.43286538676799624,0
2020-01-01,0.046031746031746035,2020-01-28,4550083.0,0.23037931395976732,1.8269983054539318,-0.035051798991580306,2.728808219469774,1.8269983054539318,0.43286538676799624,-2.0451044699669563,0
